"municipio";"nu_quantidade"
"Guaraciaba";29
"Guaramirim";95
"Guarujá do Sul";13
"Guatambú";6
"Herval d'Oeste";37
"Ibiam";7
"Ibicaré";8
"Ibirama";53
"Ilhota";25
"Imaruí";27
"Imbituba";147
"Imbuia";10
"Indaial";195
"Iomerê";7
"Ipira";13
"Iporã do Oeste";39
"Ipuaçu";11
"Ipumirim";16
"Iraceminha";9
"Irani";32
"Irati";6
"Irineópolis";23
"Itaiópolis";56
"Itajaí";1142
"Itapema";416
"Itapiranga";38
"Itapoá";55
"Ituporanga";81
"Itá";43
"Içara";178
"Jaborá";12
"Jacinto Machado";29
"Jaguaruna";69
"Jaraguá do Sul";522
"Jardinópolis";7
"Joaçaba";405
"Joinville";1623
"José Boiteux";8
"Jupiá";4
"Lacerdópolis";6
"Lages";1114
"Laguna";93
"Lajeado Grande";4
"Laurentino";17
"Lauro Muller";31
"Lebon Régis";17
"Leoberto Leal";8
"Lindóia do Sul";8
"Lontras";21
"Luiz Alves";37
"Luzerna";15
"Macieira";6
"Mafra";209
"Major Gercino";5
"Major Vieira";15
"Maracajá";11
"Maravilha";126
"Marema";4
"Massaranduba";35
"Matos Costa";7
"Meleiro";29
"Mirim Doce";5
"Modelo";12
"Mondaí";38
"Monte Carlo";26
"Monte Castelo";15
"Morro Grande";8
"Morro da Fumaça";39
"Navegantes";161
"Nova Erechim";18
"Nova Itaberaba";10
"Nova Trento";26
"Nova Veneza";43
"Novo Horizonte";3
"Orleans";92
"Otacílio Costa";60
"Ouro";19
"Ouro Verde";6
"Paial";5
"Painel";7
"Palhoça";335
"Palma Sola";18
"Palmeira";8
"Palmitos";54
"Papanduva";32
"Paraíso";10
"Passo de Torres";8
"Passos Maia";11
"Paulo Lopes";8
"Pedras Grandes";15
"Penha";61
"Peritiba";10
"Pescaria Brava";10
"Petrolândia";9
"Pinhalzinho";136
"Pinheiro Preto";3
"Piratuba";13
"Planalto Alegre";11
"Pomerode";122
"Ponte Alta";11
"Ponte Alta do Norte";7
"Ponte Serrada";31
"Porto Belo";46
"Porto União";139
"Pouso Redondo";32
"Praia Grande";27
"Presidente Castello Branco";5
"Presidente Getúlio";46
"Presidente Nereu";5
"Princesa";3
"Quilombo";36
"Rancho Queimado";9
"Rio Fortuna";10
"Rio Negrinho";91
"Rio Rufino";8
"Rio das Antas";14
"Rio do Campo";17
"Rio do Oeste";16
"Rio do Sul";444
"Rio dos Cedros";28
"Riqueza";12
"Rodeio";26
"Romelândia";12
"Salete";21
"Saltinho";2
"Salto Veloso";14
"Sangão";12
"Santa Cecília";36
"Santa Helena";4
"Santa Rosa de Lima";4
"Santa Rosa do Sul";16
"Santa Terezinha";10
"Santa Terezinha do Progresso";3
"Santiago do Sul";6
"Santo Amaro da Imperatriz";53
"Saudades";32
"Schroeder";31
"Seara";88
"Serra Alta";12
"Siderópolis";24
"Sombrio";79
"Sul Brasil";7
"São Bento do Sul";259
"São Bernardino";4
"São Bonifácio";17
"São Carlos";36
"São Cristovão do Sul";6
"São Domingos";39
"São Francisco do Sul";139
"São Joaquim";66
"São José";584
"São José do Cedro";37
"São José do Cerrito";10
"São João Batista";59
"São João do Itaperiú";11
"São João do Oeste";14
"São João do Sul";15
"São Lourenço do Oeste";135
"São Ludgero";27
"São Martinho";11
"São Miguel da Boa Vista";4
"São Miguel do Oeste";308
"São Pedro de Alcântara";10
"Taió";70
"Tangará";19
"Tigrinhos";4
"Tijucas";104
"Timbé do Sul";12
"Timbó";178
"Timbó Grande";7
"Treviso";10
"Treze Tílias";24
"Treze de Maio";17
"Trombudo Central";25
"Três Barras";33
"Tubarão";783
"Tunápolis";18
"Turvo";49
"União do Oeste";5
"Urubici";32
"Urupema";8
"Urussanga";80
"Vargem";7
"Vargem Bonita";10
"Vargeão";13
"Vidal Ramos";16
"Videira";319
"Vitor Meireles";15
"Witmarsum";7
"Xanxerê";350
"Xavantina";11
"Xaxim";110
"Zortéa";7
"Água Doce";26
"Águas Frias";8
"Águas Mornas";10
"Águas de Chapecó";12
