"CO_ANO";"CO_MES";"CO_NCM";"SG_UF_NCM";"VL_FOB"
2024;3;"22021000";"SC";134
2024;1;"82032010";"SC";74
2024;3;"20081900";"SC";47
2024;1;"23099090";"SC";302474
2024;4;"84219999";"SC";22411
2024;4;"13023220";"SC";42
2024;5;"85364100";"SC";176641
2024;3;"61023000";"SC";1186
2024;2;"84798290";"SC";16500
2024;3;"62043200";"SC";58
2024;3;"62033200";"SC";90
2024;3;"58062000";"SC";21242
2024;5;"39235000";"SC";359
2024;3;"85015110";"SC";35
2024;2;"61051000";"SC";37307
2024;1;"21039011";"SC";27
2024;1;"07069000";"SC";22
2024;5;"61046900";"SC";8256
2024;3;"85369090";"SC";3482
2024;2;"85361000";"SC";1462
2024;4;"62092000";"SC";4624
2024;4;"73110000";"SC";0
2024;3;"17011300";"SC";9
2024;5;"56081900";"SC";230
2024;2;"84162010";"SC";2451
2024;5;"85094050";"SC";40549
2024;1;"62046200";"SC";680
2024;5;"85395200";"SC";20027
2024;5;"21069029";"SC";63
2024;2;"61013000";"SC";1053
2024;2;"84818019";"SC";9604
2024;3;"85030090";"SC";7336
2024;2;"39259090";"SC";95864
2024;2;"84139190";"SC";39040
2024;4;"02032900";"SC";3285974
2024;1;"85015210";"SC";1523982
2024;3;"61124100";"SC";551
2024;5;"44071100";"SC";1654217
2024;1;"02032900";"SC";2127589
2024;4;"87082999";"SC";792
2024;4;"61112000";"SC";939
2024;2;"85015290";"SC";66264
2024;4;"62069000";"SC";4296
2024;4;"61112000";"SC";20919
2024;5;"82083000";"SC";2065
2024;5;"94034000";"SC";45095
2024;3;"84145110";"SC";213
2024;3;"84818095";"SC";22649
2024;5;"61032300";"SC";100
2024;3;"32081010";"SC";6238
2024;5;"85365090";"SC";1641
2024;3;"07099300";"SC";46
2024;4;"47079000";"SC";654
2024;5;"48025499";"SC";447
2024;5;"04072100";"SC";926
2024;3;"08072000";"SC";4270
2024;5;"61159500";"SC";38
2024;2;"21032010";"SC";291
2024;2;"85369090";"SC";1486
2024;4;"90328982";"SC";400
2024;5;"44123900";"SC";2171752
2024;1;"96170010";"SC";5438
2024;2;"32072099";"SC";336381
2024;4;"28276012";"SC";914000
2024;2;"87089300";"SC";4533
2024;2;"61061000";"SC";26
2024;4;"85011021";"SC";595
2024;4;"44111399";"SC";3383
2024;4;"62045300";"SC";14796
2024;2;"04072100";"SC";144
2024;2;"85015110";"SC";24762
2024;2;"20031000";"SC";1140
2024;4;"84148012";"SC";108883
2024;5;"25081000";"SC";5200
